address,city,neighbourhood,bed,bath,type,style,walk_score,lot_size,age,size,listed_price,estimated_mortgage,property_tax,last_sold_price,last_sold_year
74 Lanark Avenue,Toronto,Oakwood Village,2+2,4,Co-Op Apt,2-Storey,35,No Data,Restrict,1600-1799 sqft,1189000.0,6357.0,4152,569000.0,2018
1111 - 2 Sonic Way,Toronto,Flemingdon Park,1+1,2,Condo Apt,Apartment,35,No Data,N,600-699 sqft,599900.0,3164.0,2093,649900.0,2022
112 Stilecroft Drive,Toronto,York University Heights,5,4,Detached,Backsplit 5,4,7896.0563999999995,No Data,No Data,1399900.0,7534.0,4885,649900.0,2022
70 Dunraven Drive,Toronto,Keelesdale-eglinton West,3+1,1,Detached,Bungalow-Raised,71,2496.2475000000004,No Data,No Data,675000.0,3596.0,2743,649900.0,2022
295 Pape Avenue,Toronto,South Riverdale,3,2,SEMI-DETACHED,2 1/2 Storey,91,1948.7999999999997,No Data,No Data,899000.0,4885.0,4740,299000.0,2005
3638 St Clair Avenue E,Toronto,Cliffcrest,3,3,Att/Row/Twnhouse,3-Storey,46,1146.0826,6-15 years,1500-2000 sqft,899900.0,4890.0,3576,849999.0,2022
54 Heathdale Road,Toronto,Humewood-cedarvale,4,3,Detached,2 1/2 Storey,34,6500.0,No Data,No Data,3700000.0,20371.0,9624,849999.0,2022
49 Henderson Avenue,Toronto,Palmerston-little Italy,3,2,SEMI-DETACHED,2-Storey,91,1426.8,100+ years,No Data,1599000.0,8645.0,5649,399900.0,2004
1207 - 3 Michael Power Place,Toronto,Islington-city Centre West,2,2,Condo Apt,Apartment,91,No Data,Restrict,800-899 sqft,699000.0,3734.0,2092,845000.0,2022
1001 - 101 Prudential Drive,Toronto,Dorset Park,2,1,Condo Apt,Apartment,91,No Data,Restrict,800-899 sqft,549000.0,2871.0,973,845000.0,2022
601 - 19 Barberry Place,Toronto,Bayview Village,2,2,Condo Apt,Apartment,91,No Data,Restrict,800-899 sqft,773999.0,4166.0,2471,379000.0,2012
